accidents,traffic_fine_amount,traffic_density,traffic_lights,pavement_quality,urban_area,average_speed,rain_intensity,vehicle_count,time_of_day,Variable,Description
20,4.3709,2.3049,753,0.77,1,321.592,1.1944,290.857,160.432,accidents,"Number of recorded accidents, as a positive integer."
11,9.5564,3.2757,5.452,4.054,1,478.623,6.296,931.812,8.9108,traffic_fine_amount,"Traffic fine amount, expressed in thousands of USD."
19,7.5879,2.0989,6.697,345,0,364.476,2.8584,830.086,5.5727,traffic_density,"Traffic density index, scale from 0 (low) to 10 (high)."
23,6.3879,4.9188,9.412,4.729,0,20.92,2.1065,813.159,131.452,traffic_lights,Proportion of traffic lights in the area (0 to 1).
23,2.4042,1.961,7.393,1.7111,1,37.378,1.7028,1.4663,6.961,pavement_quality,"Pavement quality, scale from 0 (very poor) to 5 (excellent)."
31,2.404,6.7137,5.411,5.905,1,404.621,1.8936,689.041,8.1801,urban_area,"Urban area (1) or rural area (0), as an integer."
29,1.5228,5.2316,9.326,2.3785,1,16.292,2.5213,237.971,12.6622,average_speed,Average speed of vehicles in km/h.
18,8.7956,8.9864,4.784,1.9984,0,352.566,1.9072,968.067,8.0602,rain_intensity,"Rain intensity, scale from 0 (no rain) to 3 (heavy rain)."
15,6.41,1.6439,5.612,3.609,1,217.198,3.438,535.444,8.2904,vehicle_count,"Estimated number of vehicles, in thousands, as an integer."
22,7.3727,8.0411,5.961,4.765,1,409.261,2.0919,569.056,203.591,time_of_day,Time of day in 24-hour format (0 to 24).
28,1.1853,7.9196,0.41,3.7678,1,147.689,1.6946,362.918,224.158,accidents,traffic_fine_amount
17,9.7292,1.2718,8.385,8.972,0,46.888,2.899,541.363,198.574,0,0
14,8.492,3.9856,1.852,4.6776,0,287.393,2.2012,75.224,2.3728,0,0
21,2.9111,1.7015,5.548,1.9607,1,176.652,1.032,566.301,6.9538,0,0
22,2.6364,2.5472,7.222,2.3709,0,209.686,4.062,64.485,170.711,0,0
25,2.6506,2.6325,904,2.1079,1,173.899,1.4468,477.743,233.854,0,0
25,3.7382,5.5624,8.839,1.4027,1,7.3123,2.0381,719.236,5.8148,0,0
18,5.7228,4.1141,5.087,4.4752,1,3.4246,5.318,900.563,215.571,0,0
27,4.8875,9.4773,6.432,1.6612,1,160.889,1.9483,6.0541,177.364,0,0
24,3.6211,1.2637,3.942,2.893,1,229.345,2.4768,11.6224,236.028,0,0
20,6.5067,9.7369,4.682,1.2002,0,180.908,4.712,688.753,2.2461,0,0
23,2.2554,2.3064,9.063,3.9869,0,696,2.1174,383.927,9.4739,0,0
24,3.6293,7.7287,9.307,3.871,1,289.503,2.048,288.802,11.4748,0,0
17,4.2973,3.3897,8.954,1.4816,0,7.2408,239,186.807,16.13,0,0
11,5.1046,1.4308,1.384,3.4078,0,10.5503,979,57.691,156.953,0,0
